,id,doi,title,display_name,publication_year,publication_date,language,type,authorships,corresponding_author_ids,corresponding_institution_ids,cited_by_count,is_retracted,is_paratext,concepts,mesh,locations_count,locations,grants,referenced_works_count,referenced_works,related_works,ngrams_url,cited_by_api_url,counts_by_year,updated_date,created_date,ids.openalex,ids.doi,ids.mag,ids.pmid,ids.pmcid,primary_location.is_oa,primary_location.landing_page_url,primary_location.pdf_url,primary_location.source.id,primary_location.source.display_name,primary_location.source.issn_l,primary_location.source.issn,primary_location.source.is_oa,primary_location.source.is_in_doaj,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.host_organization_lineage,primary_location.source.host_organization_lineage_names,primary_location.source.type,primary_location.license,primary_location.version,open_access.is_oa,open_access.oa_status,open_access.oa_url,open_access.any_repository_has_fulltext,apc_list.value,apc_list.currency,apc_list.value_usd,apc_list.provenance,apc_paid.value,apc_paid.currency,apc_paid.value_usd,apc_paid.provenance,biblio.volume,biblio.issue,biblio.first_page,biblio.last_page,best_oa_location.is_oa,best_oa_location.landing_page_url,best_oa_location.pdf_url,best_oa_location.source.id,best_oa_location.source.display_name,best_oa_location.source.issn_l,best_oa_location.source.issn,best_oa_location.source.is_oa,best_oa_location.source.is_in_doaj,best_oa_location.source.host_organization,best_oa_location.source.host_organization_name,best_oa_location.source.host_organization_lineage,best_oa_location.source.host_organization_lineage_names,best_oa_location.source.type,best_oa_location.license,best_oa_location.version,apc_list,apc_paid
1930,https://openalex.org/W4289594186,https://doi.org/10.1038/s41597-022-01580-3,A Multi-Modal Gait Database of Natural Everyday-Walk in an Urban Environment,A Multi-Modal Gait Database of Natural Everyday-Walk in an Urban Environment,2022,2022-08-03,en,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2223780949', 'display_name': 'Viktor Losing', 'orcid': 'https://orcid.org/0000-0002-7444-1904'}, 'institutions': [{'id': 'https://openalex.org/I4210112253', 'display_name': 'Honda (Germany)', 'ror': 'https://ror.org/022c1xk47', 'country_code': 'DE', 'type': 'company'}], 'is_corresponding': True, 'raw_affiliation_string': 'Honda Research Institute Europe GmbH, Offenbach, Germany', 'raw_affiliation_strings': ['Honda Research Institute Europe GmbH, Offenbach, Germany']}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2024930415', 'display_name': 'Martina Hasenjäger', 'orcid': 'https://orcid.org/0000-0001-8438-5865'}, 'institutions': [{'id': 'https://openalex.org/I4210112253', 'display_name': 'Honda (Germany)', 'ror': 'https://ror.org/022c1xk47', 'country_code': 'DE', 'type': 'company'}], 'is_corresponding': True, 'raw_affiliation_string': 'Honda Research Institute Europe GmbH, Offenbach, Germany', 'raw_affiliation_strings': ['Honda Research Institute Europe GmbH, Offenbach, Germany']}]","['https://openalex.org/A2223780949', 'https://openalex.org/A2024930415']","['https://openalex.org/I4210112253', 'https://openalex.org/I4210112253']",2,False,False,"[{'id': 'https://openalex.org/C151800584', 'wikidata': 'https://www.wikidata.org/wiki/Q2370000', 'display_name': 'Gait', 'level': 2, 'score': 0.74944943}, {'id': 'https://openalex.org/C2777295749', 'wikidata': 'https://www.wikidata.org/wiki/Q12511', 'display_name': 'Stairs', 'level': 2, 'score': 0.6913598}, {'id': 'https://openalex.org/C79061980', 'wikidata': 'https://www.wikidata.org/wiki/Q941680', 'display_name': 'Inertial measurement unit', 'level': 2, 'score': 0.6172121}, {'id': 'https://openalex.org/C2779916870', 'wikidata': 'https://www.wikidata.org/wiki/Q14467155', 'display_name': 'Gaze', 'level': 2, 'score': 0.58505094}, {'id': 'https://openalex.org/C41008148', 'wikidata': 'https://www.wikidata.org/wiki/Q21198', 'display_name': 'Computer science', 'level': 0, 'score': 0.55643326}, {'id': 'https://openalex.org/C177264268', 'wikidata': 'https://www.wikidata.org/wiki/Q1514741', 'display_name': 'Set (abstract data type)', 'level': 2, 'score': 0.48151192}, {'id': 'https://openalex.org/C58489278', 'wikidata': 'https://www.wikidata.org/wiki/Q1172284', 'display_name': 'Data set', 'level': 2, 'score': 0.42795905}, {'id': 'https://openalex.org/C154945302', 'wikidata': 'https://www.wikidata.org/wiki/Q11660', 'display_name': 'Artificial intelligence', 'level': 1, 'score': 0.42738974}, {'id': 'https://openalex.org/C99508421', 'wikidata': 'https://www.wikidata.org/wiki/Q2678675', 'display_name': 'Physical medicine and rehabilitation', 'level': 1, 'score': 0.35528478}, {'id': 'https://openalex.org/C107457646', 'wikidata': 'https://www.wikidata.org/wiki/Q207434', 'display_name': 'Human–computer interaction', 'level': 1, 'score': 0.3287988}, {'id': 'https://openalex.org/C127413603', 'wikidata': 'https://www.wikidata.org/wiki/Q11023', 'display_name': 'Engineering', 'level': 0, 'score': 0.17120215}, {'id': 'https://openalex.org/C71924100', 'wikidata': 'https://www.wikidata.org/wiki/Q11190', 'display_name': 'Medicine', 'level': 0, 'score': 0.09020653}, {'id': 'https://openalex.org/C147176958', 'wikidata': 'https://www.wikidata.org/wiki/Q77590', 'display_name': 'Civil engineering', 'level': 1, 'score': 0.0}, {'id': 'https://openalex.org/C199360897', 'wikidata': 'https://www.wikidata.org/wiki/Q9143', 'display_name': 'Programming language', 'level': 1, 'score': 0.0}]","[{'descriptor_ui': 'D005684', 'descriptor_name': 'Gait', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': True}, {'descriptor_ui': 'D016138', 'descriptor_name': 'Walking', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': True}, {'descriptor_ui': 'D000328', 'descriptor_name': 'Adult', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D000368', 'descriptor_name': 'Aged', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D016208', 'descriptor_name': 'Databases, Factual', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D005260', 'descriptor_name': 'Female', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D005528', 'descriptor_name': 'Foot', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D064368', 'descriptor_name': 'Healthy Volunteers', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D006801', 'descriptor_name': 'Humans', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D008297', 'descriptor_name': 'Male', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D008875', 'descriptor_name': 'Middle Aged', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}, {'descriptor_ui': 'D055815', 'descriptor_name': 'Young Adult', 'qualifier_ui': '', 'qualifier_name': None, 'is_major_topic': False}]",3,"[{'is_oa': True, 'landing_page_url': 'https://doi.org/10.1038/s41597-022-01580-3', 'pdf_url': 'https://www.nature.com/articles/s41597-022-01580-3.pdf', 'source': {'id': 'https://openalex.org/S2607323502', 'display_name': 'Scientific Data', 'issn_l': '2052-4463', 'issn': ['2052-4463'], 'is_oa': True, 'is_in_doaj': True, 'host_organization': 'https://openalex.org/P4310319908', 'host_organization_name': 'Nature Portfolio', 'host_organization_lineage': ['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965'], 'host_organization_lineage_names': ['Nature Portfolio', 'Springer Nature'], 'type': 'journal'}, 'license': 'cc-by', 'version': 'publishedVersion'}, {'is_oa': True, 'landing_page_url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9349224', 'pdf_url': None, 'source': {'id': 'https://openalex.org/S2764455111', 'display_name': 'PubMed Central', 'issn_l': None, 'issn': None, 'is_oa': True, 'is_in_doaj': False, 'host_organization': 'https://openalex.org/I1299303238', 'host_organization_name': 'National Institutes of Health', 'host_organization_lineage': ['https://openalex.org/I1299303238'], 'host_organization_lineage_names': ['National Institutes of Health'], 'type': 'repository'}, 'license': None, 'version': 'publishedVersion'}, {'is_oa': False, 'landing_page_url': 'https://pubmed.ncbi.nlm.nih.gov/35922448', 'pdf_url': None, 'source': {'id': 'https://openalex.org/S4306525036', 'display_name': 'PubMed', 'issn_l': None, 'issn': None, 'is_oa': False, 'is_in_doaj': False, 'host_organization': 'https://openalex.org/I1299303238', 'host_organization_name': 'National Institutes of Health', 'host_organization_lineage': ['https://openalex.org/I1299303238'], 'host_organization_lineage_names': ['National Institutes of Health'], 'type': 'repository'}, 'license': None, 'version': None}]",[],32.0,"['https://openalex.org/W88568647', 'https://openalex.org/W1970493599', 'https://openalex.org/W2014767144', 'https://openalex.org/W2026297770', 'https://openalex.org/W2036229379', 'https://openalex.org/W2063598276', 'https://openalex.org/W2073401630', 'https://openalex.org/W2073870214', 'https://openalex.org/W2098364470', 'https://openalex.org/W2112807011', 'https://openalex.org/W2134524950', 'https://openalex.org/W2137604415', 'https://openalex.org/W2142114107', 'https://openalex.org/W2142584292', 'https://openalex.org/W2158764002', 'https://openalex.org/W2216246964', 'https://openalex.org/W2293017653', 'https://openalex.org/W2295429002', 'https://openalex.org/W2526225066', 'https://openalex.org/W2559852960', 'https://openalex.org/W2560253279', 'https://openalex.org/W2620371446', 'https://openalex.org/W2763945059', 'https://openalex.org/W2794281269', 'https://openalex.org/W2798036083', 'https://openalex.org/W2799512474', 'https://openalex.org/W2800526938', 'https://openalex.org/W2982889370', 'https://openalex.org/W3014274848', 'https://openalex.org/W3014922168', 'https://openalex.org/W3040736388', 'https://openalex.org/W3196898763']","['https://openalex.org/W1585652991', 'https://openalex.org/W2015435773', 'https://openalex.org/W2037936851', 'https://openalex.org/W2159357791', 'https://openalex.org/W2556356433', 'https://openalex.org/W2947278267', 'https://openalex.org/W2991325635', 'https://openalex.org/W3007348545', 'https://openalex.org/W3153504978', 'https://openalex.org/W4319588993']",https://api.openalex.org/works/W4289594186/ngrams,https://api.openalex.org/works?filter=cites:W4289594186,"[{'year': 2023, 'cited_by_count': 1}, {'year': 2022, 'cited_by_count': 1}]",2023-06-17T20:39:03.877406,2022-08-03,https://openalex.org/W4289594186,https://doi.org/10.1038/s41597-022-01580-3,,https://pubmed.ncbi.nlm.nih.gov/35922448,,True,https://doi.org/10.1038/s41597-022-01580-3,https://www.nature.com/articles/s41597-022-01580-3.pdf,https://openalex.org/S2607323502,Scientific Data,2052-4463,['2052-4463'],True,True,https://openalex.org/P4310319908,Nature Portfolio,"['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965']","['Nature Portfolio', 'Springer Nature']",journal,cc-by,publishedVersion,True,gold,https://www.nature.com/articles/s41597-022-01580-3.pdf,True,1990.0,USD,1990.0,doaj,1990.0,USD,1990.0,doaj,9.0,1.0,,,True,https://doi.org/10.1038/s41597-022-01580-3,https://www.nature.com/articles/s41597-022-01580-3.pdf,https://openalex.org/S2607323502,Scientific Data,2052-4463,['2052-4463'],True,True,https://openalex.org/P4310319908,Nature Portfolio,"['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965']","['Nature Portfolio', 'Springer Nature']",journal,cc-by,publishedVersion,,
192,https://openalex.org/W2909848146,https://doi.org/10.1038/sdata.2018.309,"GFPLAIN250m, a global high-resolution dataset of Earth’s floodplains","GFPLAIN250m, a global high-resolution dataset of Earth’s floodplains",2019,2019-01-15,en,journal-article,"[{'author_position': 'first', 'author': {'id': 'https://openalex.org/A2100193223', 'display_name': 'Francesco Nardi', 'orcid': 'https://orcid.org/0000-0003-0271-9855'}, 'institutions': [{'id': 'https://openalex.org/I9568059', 'display_name': 'University for Foreigners Perugia', 'ror': 'https://ror.org/047302w76', 'country_code': 'IT', 'type': 'education'}], 'is_corresponding': False, 'raw_affiliation_string': 'Water Resources Research and Documentation Centre (WARREDOC), University for Foreigners of Perugia , Perugia, Italy;', 'raw_affiliation_strings': ['Water Resources Research and Documentation Centre (WARREDOC), University for Foreigners of Perugia , Perugia, Italy;']}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A2803078331', 'display_name': 'Antonio Annis', 'orcid': 'https://orcid.org/0000-0001-6162-4691'}, 'institutions': [{'id': 'https://openalex.org/I9568059', 'display_name': 'University for Foreigners Perugia', 'ror': 'https://ror.org/047302w76', 'country_code': 'IT', 'type': 'education'}], 'is_corresponding': False, 'raw_affiliation_string': 'Water Resources Research and Documentation Centre (WARREDOC), University for Foreigners of Perugia , Perugia, Italy;', 'raw_affiliation_strings': ['Water Resources Research and Documentation Centre (WARREDOC), University for Foreigners of Perugia , Perugia, Italy;']}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A4358354926', 'display_name': 'Giuliano Di Baldassarre', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I123387679', 'display_name': 'Uppsala University', 'ror': 'https://ror.org/048a87296', 'country_code': 'SE', 'type': 'education'}, {'id': 'https://openalex.org/I2799973717', 'display_name': 'IHE Delft Institute for Water Education', 'ror': 'https://ror.org/030deh410', 'country_code': 'NL', 'type': 'education'}], 'is_corresponding': False, 'raw_affiliation_string': 'IHE Delft Institute for Water Education, Delft, The Netherlands.; Department for Earth Sciences, Uppsala University, Uppsala, Sweden', 'raw_affiliation_strings': ['IHE Delft Institute for Water Education, Delft, The Netherlands.', 'Department for Earth Sciences, Uppsala University, Uppsala, Sweden']}, {'author_position': 'middle', 'author': {'id': 'https://openalex.org/A4354871399', 'display_name': 'Enrique R. Vivoni', 'orcid': None}, 'institutions': [{'id': 'https://openalex.org/I55732556', 'display_name': 'Arizona State University', 'ror': 'https://ror.org/03efmqc40', 'country_code': 'US', 'type': 'education'}], 'is_corresponding': False, 'raw_affiliation_string': 'School of Sustainable Engineering and the Built Environment, Arizona State University, Tempe, USA', 'raw_affiliation_strings': ['School of Sustainable Engineering and the Built Environment, Arizona State University, Tempe, USA']}, {'author_position': 'last', 'author': {'id': 'https://openalex.org/A2604929437', 'display_name': 'Salvatore Grimaldi', 'orcid': 'https://orcid.org/0000-0001-5715-106X'}, 'institutions': [{'id': 'https://openalex.org/I138938424', 'display_name': 'Tuscia University', 'ror': 'https://ror.org/03svwq685', 'country_code': 'IT', 'type': 'education'}, {'id': None, 'display_name': 'Department of Mechanical and Aerospace Engineering, New York University Tandon School of Engineering, New York City, USA', 'ror': None, 'country_code': None, 'type': None}], 'is_corresponding': False, 'raw_affiliation_string': 'Department for Innovation in Biological, Agro-food and Forest systems (DIBAF), University of Tuscia, Viterbo, Italy; Department of Mechanical and Aerospace Engineering, New York University Tandon School of Engineering, New York City, USA', 'raw_affiliation_strings': ['Department for Innovation in Biological, Agro-food and Forest systems (DIBAF), University of Tuscia, Viterbo, Italy', 'Department of Mechanical and Aerospace Engineering, New York University Tandon School of Engineering, New York City, USA']}]",[],[],76,False,False,"[{'id': 'https://openalex.org/C155681218', 'wikidata': 'https://www.wikidata.org/wiki/Q193110', 'display_name': 'Floodplain', 'level': 2, 'score': 0.94980884}, {'id': 'https://openalex.org/C184149073', 'wikidata': 'https://www.wikidata.org/wiki/Q965136', 'display_name': 'Shuttle Radar Topography Mission', 'level': 3, 'score': 0.8829935}, {'id': 'https://openalex.org/C161840515', 'wikidata': 'https://www.wikidata.org/wiki/Q186131', 'display_name': 'Terrain', 'level': 2, 'score': 0.5505}, {'id': 'https://openalex.org/C9770341', 'wikidata': 'https://www.wikidata.org/wiki/Q1938983', 'display_name': 'Geospatial analysis', 'level': 2, 'score': 0.5459647}, {'id': 'https://openalex.org/C74256435', 'wikidata': 'https://www.wikidata.org/wiki/Q134052', 'display_name': 'Flood myth', 'level': 2, 'score': 0.53293884}, {'id': 'https://openalex.org/C181843262', 'wikidata': 'https://www.wikidata.org/wiki/Q640492', 'display_name': 'Digital elevation model', 'level': 2, 'score': 0.5065695}, {'id': 'https://openalex.org/C205649164', 'wikidata': 'https://www.wikidata.org/wiki/Q1071', 'display_name': 'Geography', 'level': 0, 'score': 0.36888826}, {'id': 'https://openalex.org/C62649853', 'wikidata': 'https://www.wikidata.org/wiki/Q199687', 'display_name': 'Remote sensing', 'level': 1, 'score': 0.35455745}, {'id': 'https://openalex.org/C41008148', 'wikidata': 'https://www.wikidata.org/wiki/Q21198', 'display_name': 'Computer science', 'level': 0, 'score': 0.33280045}, {'id': 'https://openalex.org/C107826830', 'wikidata': 'https://www.wikidata.org/wiki/Q929380', 'display_name': 'Environmental resource management', 'level': 1, 'score': 0.32880175}, {'id': 'https://openalex.org/C39432304', 'wikidata': 'https://www.wikidata.org/wiki/Q188847', 'display_name': 'Environmental science', 'level': 0, 'score': 0.29618984}, {'id': 'https://openalex.org/C58640448', 'wikidata': 'https://www.wikidata.org/wiki/Q42515', 'display_name': 'Cartography', 'level': 1, 'score': 0.24997151}, {'id': 'https://openalex.org/C166957645', 'wikidata': 'https://www.wikidata.org/wiki/Q23498', 'display_name': 'Archaeology', 'level': 1, 'score': 0.08795193}]",[],5,"[{'is_oa': True, 'landing_page_url': 'https://doi.org/10.1038/sdata.2018.309', 'pdf_url': None, 'source': {'id': 'https://openalex.org/S2607323502', 'display_name': 'Scientific Data', 'issn_l': '2052-4463', 'issn': ['2052-4463'], 'is_oa': True, 'is_in_doaj': True, 'host_organization': 'https://openalex.org/P4310319908', 'host_organization_name': 'Nature Portfolio', 'host_organization_lineage': ['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965'], 'host_organization_lineage_names': ['Nature Portfolio', 'Springer Nature'], 'type': 'journal'}, 'license': 'cc-by', 'version': 'publishedVersion'}, {'is_oa': True, 'landing_page_url': 'https://europepmc.org/articles/pmc6335616', 'pdf_url': 'https://europepmc.org/articles/pmc6335616?pdf=render', 'source': {'id': 'https://openalex.org/S4306400806', 'display_name': 'Europe PMC (PubMed Central)', 'issn_l': None, 'issn': None, 'is_oa': True, 'is_in_doaj': False, 'host_organization': 'https://openalex.org/I1303153112', 'host_organization_name': 'European Bioinformatics Institute', 'host_organization_lineage': ['https://openalex.org/I1303153112'], 'host_organization_lineage_names': ['European Bioinformatics Institute'], 'type': 'repository'}, 'license': 'cc-by', 'version': 'publishedVersion'}, {'is_oa': True, 'landing_page_url': 'http://urn.kb.se/resolve?urn=urn:nbn:se:uu:diva-375870', 'pdf_url': 'http://uu.diva-portal.org/smash/get/diva2:1285247/FULLTEXT01', 'source': {'id': 'https://openalex.org/S4306401559', 'display_name': 'KTH Publication Database DiVA (KTH Royal Institute of Technology)', 'issn_l': None, 'issn': None, 'is_oa': True, 'is_in_doaj': False, 'host_organization': None, 'host_organization_name': None, 'host_organization_lineage': [], 'host_organization_lineage_names': [], 'type': 'repository'}, 'license': 'cc-by', 'version': 'publishedVersion'}, {'is_oa': True, 'landing_page_url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6335616', 'pdf_url': None, 'source': {'id': 'https://openalex.org/S2764455111', 'display_name': 'PubMed Central', 'issn_l': None, 'issn': None, 'is_oa': True, 'is_in_doaj': False, 'host_organization': 'https://openalex.org/I1299303238', 'host_organization_name': 'National Institutes of Health', 'host_organization_lineage': ['https://openalex.org/I1299303238'], 'host_organization_lineage_names': ['National Institutes of Health'], 'type': 'repository'}, 'license': None, 'version': 'publishedVersion'}, {'is_oa': False, 'landing_page_url': 'https://pubmed.ncbi.nlm.nih.gov/30644852', 'pdf_url': None, 'source': {'id': 'https://openalex.org/S4306525036', 'display_name': 'PubMed', 'issn_l': None, 'issn': None, 'is_oa': False, 'is_in_doaj': False, 'host_organization': 'https://openalex.org/I1299303238', 'host_organization_name': 'National Institutes of Health', 'host_organization_lineage': ['https://openalex.org/I1299303238'], 'host_organization_lineage_names': ['National Institutes of Health'], 'type': 'repository'}, 'license': None, 'version': None}]",[],36.0,"['https://openalex.org/W1498793884', 'https://openalex.org/W1587869157', 'https://openalex.org/W1593043172', 'https://openalex.org/W1930512587', 'https://openalex.org/W1979136046', 'https://openalex.org/W1985137063', 'https://openalex.org/W1990128059', 'https://openalex.org/W1998515817', 'https://openalex.org/W2003592388', 'https://openalex.org/W2004744873', 'https://openalex.org/W2011012952', 'https://openalex.org/W2039164479', 'https://openalex.org/W2041779651', 'https://openalex.org/W2043801936', 'https://openalex.org/W2083173052', 'https://openalex.org/W2084744129', 'https://openalex.org/W2136790139', 'https://openalex.org/W2139533848', 'https://openalex.org/W2141698700', 'https://openalex.org/W2147429383', 'https://openalex.org/W2171675471', 'https://openalex.org/W2296695383', 'https://openalex.org/W2345755206', 'https://openalex.org/W2346877152', 'https://openalex.org/W2520202505', 'https://openalex.org/W2560167313', 'https://openalex.org/W2563233610', 'https://openalex.org/W2571219189', 'https://openalex.org/W2605932719', 'https://openalex.org/W2611950400', 'https://openalex.org/W2803716159', 'https://openalex.org/W2805938370', 'https://openalex.org/W2806290284', 'https://openalex.org/W2811310577', 'https://openalex.org/W2815302428', 'https://openalex.org/W2888437270']","['https://openalex.org/W2075770923', 'https://openalex.org/W2079590773', 'https://openalex.org/W2093166460', 'https://openalex.org/W2124550414', 'https://openalex.org/W2153806709', 'https://openalex.org/W2546634394', 'https://openalex.org/W3099561311', 'https://openalex.org/W3149860494', 'https://openalex.org/W4297542284', 'https://openalex.org/W4306875462']",https://api.openalex.org/works/W2909848146/ngrams,https://api.openalex.org/works?filter=cites:W2909848146,"[{'year': 2023, 'cited_by_count': 9}, {'year': 2022, 'cited_by_count': 25}, {'year': 2021, 'cited_by_count': 22}, {'year': 2020, 'cited_by_count': 12}, {'year': 2019, 'cited_by_count': 8}]",2023-06-28T03:50:13.159950,2019-01-25,https://openalex.org/W2909848146,https://doi.org/10.1038/sdata.2018.309,2909848146.0,https://pubmed.ncbi.nlm.nih.gov/30644852,https://www.ncbi.nlm.nih.gov/pmc/articles/6335616,True,https://doi.org/10.1038/sdata.2018.309,https://www.nature.com/articles/sdata2018309.pdf,https://openalex.org/S2607323502,Scientific Data,2052-4463,['2052-4463'],True,True,https://openalex.org/P4310319908,Nature Portfolio,"['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965']","['Nature Portfolio', 'Springer Nature']",journal,cc-by,publishedVersion,True,gold,https://doi.org/10.1038/sdata.2018.309,True,1990.0,USD,1990.0,doaj,1990.0,USD,1990.0,doaj,6.0,1.0,,,True,https://doi.org/10.1038/sdata.2018.309,,https://openalex.org/S2607323502,Scientific Data,2052-4463,['2052-4463'],True,True,https://openalex.org/P4310319908,Nature Portfolio,"['https://openalex.org/P4310319908', 'https://openalex.org/P4310319965']","['Nature Portfolio', 'Springer Nature']",journal,cc-by,publishedVersion,,
